Date,Last Price,Volume
4/24/2017,20763.89,87743888
4/21/2017,20547.76,114289696
4/20/2017,20578.71,85269744
4/19/2017,20404.49,76765288
4/18/2017,20523.28,65847940
4/17/2017,20636.92,64131300
4/13/2017,20453.25,66566088
4/12/2017,20591.86,73116576
4/11/2017,20651.3,66549780
4/10/2017,20658.02,62840552
4/7/2017,20656.1,62225080
4/6/2017,20662.95,76215264
4/5/2017,20648.15,75466256
4/4/2017,20689.24,63257120
4/3/2017,20650.21,85862464
3/31/2017,20663.22,105913200
3/30/2017,20728.49,74643744
3/29/2017,20659.32,60511600
3/28/2017,20701.5,83850008
3/27/2017,20550.98,79805360
3/24/2017,20596.72,91647592
3/23/2017,20656.58,78993192
3/22/2017,20661.3,90625056
3/21/2017,20668.01,96246192
3/20/2017,20905.86,69360576
3/17/2017,20914.62,296221792
3/16/2017,20934.55,73979648
3/15/2017,20950.1,80396000
3/14/2017,20837.37,65804872
3/13/2017,20881.48,77941888
3/10/2017,20902.98,86041760
3/9/2017,20858.19,76664336
3/8/2017,20855.73,88722576
3/7/2017,20924.76,72665112
3/6/2017,20954.34,79610408
3/3/2017,21005.71,75137728
3/2/2017,21002.97,83357808
3/1/2017,21115.55,106054896
2/28/2017,20812.24,111104600
2/27/2017,20837.44,71187160
2/24/2017,20821.76,88863568
2/23/2017,20810.32,79946176
2/22/2017,20775.6,84389024
2/21/2017,20743,92969184
2/17/2017,20624.05,122560896
2/16/2017,20619.77,91768408
2/15/2017,20611.86,98520960
2/14/2017,20504.41,89087872
2/13/2017,20412.16,84384896
2/10/2017,20269.37,83163808
2/9/2017,20172.4,87858464
2/8/2017,20054.34,70710224
2/7/2017,20090.29,69913480
2/6/2017,20052.42,74703184
2/3/2017,20071.46,88342256
2/2/2017,19884.91,89157608
2/1/2017,19890.94,107293200
1/31/2017,19864.09,108812496
1/30/2017,19971.13,86108528
1/27/2017,20093.78,84090672
1/26/2017,20100.91,91395264
1/25/2017,20068.51,91364928
1/24/2017,19912.71,88955792
1/23/2017,19799.85,82650552
1/20/2017,19827.25,145548800
1/19/2017,19732.4,79210512
1/18/2017,19804.72,74543184
1/17/2017,19826.77,95371104
1/13/2017,19885.73,74988304
1/12/2017,19891,77024552
1/11/2017,19954.28,91101048
1/10/2017,19855.53,91544736
1/9/2017,19887.38,84808840
1/6/2017,19963.8,75691024
1/5/2017,19899.29,72358912
1/4/2017,19942.16,81182120
1/3/2017,19881.76,99921296
12/30/2016,19762.6,103790096
12/29/2016,19819.78,52680420
12/28/2016,19833.68,58764712
12/27/2016,19945.04,49060100
12/23/2016,19933.81,47038200
12/22/2016,19918.88,78056408
12/21/2016,19941.96,71714688
12/20/2016,19974.62,80816232
12/19/2016,19883.06,85520704
12/16/2016,19843.41,263537792
12/15/2016,19852.24,93321912
12/14/2016,19792.53,113307504
12/13/2016,19911.21,99395264
12/12/2016,19796.43,99775760
12/9/2016,19756.85,91809664
12/8/2016,19614.81,89787984
12/7/2016,19549.62,112148496
12/6/2016,19251.78,77808944
12/5/2016,19216.24,92689800
12/2/2016,19170.42,84923904
12/1/2016,19191.93,108805504
11/30/2016,19123.58,164592704
11/29/2016,19121.6,81518272
11/28/2016,19097.9,88463184
11/25/2016,19152.14,45897880
11/23/2016,19083.18,77881024
11/22/2016,19023.87,85313776
11/21/2016,18956.69,80533344
11/18/2016,18867.93,109896800
11/17/2016,18903.82,89947792
11/16/2016,18868.14,87498480
11/15/2016,18923.06,100674400
11/14/2016,18868.69,112267104
11/11/2016,18847.66,107299800
11/10/2016,18807.88,164399200
11/9/2016,18589.69,173111104
11/8/2016,18332.74,79851696
11/7/2016,18259.6,93457512
11/4/2016,17888.28,97772872
11/3/2016,17930.67,77891424
11/2/2016,17959.64,88656840
11/1/2016,18037.1,101285696
10/31/2016,18142.42,110088000
10/28/2016,18161.19,107851400
10/27/2016,18169.68,83572704
10/26/2016,18199.33,86345952
10/25/2016,18169.27,84517920
10/24/2016,18223.03,88557024
10/21/2016,18145.71,117845000
10/20/2016,18162.35,89124112
10/19/2016,18202.62,88082960
10/18/2016,18161.94,75964608
10/17/2016,18086.4,75968000
10/14/2016,18138.38,87059440
10/13/2016,18098.94,83164800
10/12/2016,18144.2,72234304
10/11/2016,18128.66,88624704
10/10/2016,18329.04,72117904
10/7/2016,18240.49,82685536
10/6/2016,18268.5,78663056
10/5/2016,18281.03,76210808
10/4/2016,18168.45,79712784
10/3/2016,18253.85,68518176
9/30/2016,18308.15,135474896
9/29/2016,18143.45,95890248
9/28/2016,18339.24,97656368
9/27/2016,18228.3,84131432
9/26/2016,18094.83,95523424
9/23/2016,18261.45,87187664
9/22/2016,18392.46,73032224
9/21/2016,18293.7,94106064
9/20/2016,18129.96,72467008
9/19/2016,18120.17,78097264
9/16/2016,18123.8,278537696
9/15/2016,18212.48,99591960
9/14/2016,18034.77,103376200
9/13/2016,18066.75,102845000
9/12/2016,18325.07,103294200
9/9/2016,18085.45,120710400
9/8/2016,18479.91,79075296
9/7/2016,18526.14,67589760
9/6/2016,18538.12,83719664
9/2/2016,18491.96,74357152
9/1/2016,18419.3,74787328
8/31/2016,18400.88,98257592
8/30/2016,18454.3,68917992
8/29/2016,18502.99,64487112
8/26/2016,18395.4,78728000
8/25/2016,18448.41,64482600
8/24/2016,18481.48,72273664
8/23/2016,18547.3,73992720
8/22/2016,18529.42,73461184
8/19/2016,18552.57,93169208
8/18/2016,18597.7,70763480
8/17/2016,18573.94,71071440
8/16/2016,18552.02,67571400
8/15/2016,18636.05,62365940
8/12/2016,18576.47,61584832
8/11/2016,18613.52,71478384
8/10/2016,18495.66,62778420
8/9/2016,18533.05,60093820
8/8/2016,18529.29,71808440
8/5/2016,18543.53,92425584
8/4/2016,18352.05,64511688
8/3/2016,18355,78571824
8/2/2016,18313.77,89688592
8/1/2016,18404.51,83497672
7/29/2016,18432.24,111575504
7/28/2016,18456.35,85806728
7/27/2016,18472.17,111391200
7/26/2016,18473.75,87391512
7/25/2016,18493.06,76821696
7/22/2016,18570.85,87718128
7/21/2016,18517.23,86818656
7/20/2016,18595.03,93457088
7/19/2016,18559.01,86438976
7/18/2016,18533.05,75559040
7/15/2016,18516.55,123709000
7/14/2016,18506.41,87063160
7/13/2016,18372.12,80919024
7/12/2016,18347.67,90229552
